[2025-07-01 19:21:04,298] INFO] Starting fetch for api....]
[2025-07-01 19:21:05,116] INFO] Fetching the page : 1 -> 200 -> https://newsapi.org/v2/everything?q=Indian+Army&pageSize=20&page=1&apikey=259d402894094797b40607ced1ecbac5]
[2025-07-01 19:21:05,116] INFO] Total Fetched Articles are 19]
[2025-07-01 19:22:12,396] INFO] Starting fetch for api....]
[2025-07-01 19:22:12,955] INFO] Fetching the page : 1 -> 200 -> https://newsapi.org/v2/everything?q=Indian+Army&pageSize=20&page=1&apikey=259d402894094797b40607ced1ecbac5]
[2025-07-01 19:22:12,955] INFO] Total Fetched Articles are 19]
[2025-07-01 19:22:12,955] INFO] Saved article to queue\64e59be7-3da5-4c3f-a764-fc8901d26dac.json]
[2025-07-01 19:22:12,960] INFO] Saved article to queue\f779cd4f-6dbc-413e-aa5a-91f4428b73d3.json]
[2025-07-01 19:22:12,962] INFO] Saved article to queue\99f7e3b1-9bb2-4acf-ac9b-31d508ccb578.json]
[2025-07-01 19:22:12,963] INFO] Saved article to queue\4afcd4ce-ed85-44de-a4f8-3f9bd796bfb1.json]
[2025-07-01 19:22:12,963] INFO] Saved article to queue\f008854d-4cb7-4cbd-bad5-50d1119472a9.json]
[2025-07-01 19:22:12,964] INFO] Saved article to queue\cb7e1f01-449e-4e28-a9ae-5177cb5ff44c.json]
[2025-07-01 19:22:12,964] INFO] Saved article to queue\cb52a33a-3d61-4cfc-8be0-f4e0686b8573.json]
[2025-07-01 19:22:12,966] INFO] Saved article to queue\1151f1ad-b162-496c-ac07-9e70eeb66cb6.json]
[2025-07-01 19:22:12,966] INFO] Saved article to queue\35d70959-c62d-4d57-ae74-0015c193073d.json]
[2025-07-01 19:22:12,967] INFO] Saved article to queue\6b7347eb-cc97-45d4-9458-93becbd712b4.json]
[2025-07-01 19:22:12,967] INFO] Saved article to queue\73b7f11c-84ef-4c7e-92c5-eb9119f50dfd.json]
[2025-07-01 19:22:12,968] INFO] Saved article to queue\c474faa5-2347-48ba-bb22-19b3169106e0.json]
[2025-07-01 19:22:12,968] INFO] Saved article to queue\3f9e806c-d24c-46f7-993e-01a9b301c979.json]
[2025-07-01 19:22:12,969] INFO] Saved article to queue\f2b79858-eeb1-49f4-8929-ca6800fea4dd.json]
[2025-07-01 19:22:12,969] INFO] Saved article to queue\e7390031-5260-4666-99cd-f711dd8aa920.json]
[2025-07-01 19:22:12,970] INFO] Saved article to queue\b1476c6b-dcd5-4fb8-891c-7ce1dc5ad23c.json]
[2025-07-01 19:22:12,970] INFO] Saved article to queue\0461b942-b41b-4e3f-bc27-b7a52281fb22.json]
[2025-07-01 19:22:12,971] INFO] Saved article to queue\9d75a1de-dbeb-4d31-8cec-cc1611dae417.json]
[2025-07-01 19:22:12,971] INFO] Saved article to queue\6f18e3d7-0697-4d01-8517-9096645d8486.json]
